sessionID,session_duration,count_Teleport,count_Grab,count_Release,count_PlayVideo,count_Pause,count_Resume,count_Touch,unique_concepts_touched,touch_play_count,grab_release_count,avg_touch_play_duration,concept_concept_IaaS,concept_concept_On-Premises,concept_concept_PaaS,concept_concept_SaaS,concept_concept_caratteristica,concept_concept_cloud_computing,concept_concept_fornitore_del_servizio,concept_concept_infrastruttura_cloud,concept_concept_livello_astratto,concept_concept_livello_fisico,concept_concept_modello_di_cloud,concept_concept_risorse_hardware,concept_concept_servizio,concept_concept_software
Userlogs10,801.434,35,4,4,4,4,1,14,8,12,4,189.6535,1,0,2,1,3,0,0,1,0,0,2,1,0,3
Userlogs11,800.019,19,2,2,5,4,1,5,3,5,2,27.7666,0,0,0,0,3,1,0,0,0,0,1,0,0,0
Userlogs12,1045.634,33,1,1,2,9,1,11,8,11,1,9.811272727272728,0,1,0,0,3,2,1,0,1,0,1,1,1,0
Userlogs13,707.395,14,1,0,1,0,1,1,1,1,0,17.947,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Userlogs14,5607.749,68,45,45,5,8,4,47,12,47,45,3910.89485106383,4,0,4,2,2,0,9,5,5,1,11,2,1,1
Userlogs15,814.635,32,3,3,4,6,0,5,4,5,3,7.951800000000001,0,0,0,0,0,0,1,0,0,1,1,2,0,0
Userlogs16,1067.321,37,17,17,6,9,5,4,2,4,17,244.9885,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Userlogs17,1043.817,47,3,3,1,3,0,10,3,10,3,27.651600000000002,0,0,0,0,0,4,0,0,0,0,2,4,0,0
Userlogs18,811.079,32,6,6,1,3,1,3,3,3,6,10.584666666666669,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Userlogs19,934.945,22,14,14,2,3,1,10,7,10,14,70.3257,0,0,0,0,0,1,2,2,2,0,1,1,0,1
Userlogs20,854.635,19,2,2,2,2,1,2,2,2,2,23.9745,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Userlogs21,930.229,31,10,10,1,2,1,7,4,5,10,41.142199999999995,1,1,0,4,1,0,0,0,0,0,0,0,0,0
Userlogs22,816.488,22,2,2,1,4,0,8,5,6,2,8.983833333333333,0,0,1,0,0,3,0,1,2,0,1,0,0,0
Userlogs23,758.861,14,3,3,6,4,0,7,1,7,3,60.917857142857144,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Userlogs24,966.435,22,32,32,2,6,1,31,8,25,32,56.01068,4,0,3,3,0,10,0,0,1,1,2,7,0,0
Userlogs25,827.472,18,3,3,5,4,0,7,4,7,3,39.18271428571428,0,0,3,1,0,0,0,0,0,0,1,2,0,0
