Timestamp,Action,ActionID,Direction
2024-12-11 11:07:59.386,Teleport,,R
2024-12-11 11:08:01.750,Teleport,,R
2024-12-11 11:08:08.159,Teleport,,L
2024-12-11 11:08:11.175,Teleport,,L
2024-12-11 11:08:13.432,Teleport,,L
2024-12-11 11:08:18.821,Teleport,,R
2024-12-11 11:08:19.226,Teleport,,R
2024-12-11 11:08:20.749,Teleport,,R
2024-12-11 11:08:23.150,Teleport,,R
2024-12-11 11:08:24.321,Teleport,,L
2024-12-11 11:08:35.282,Teleport,,R
2024-12-11 11:08:38.202,Teleport,,R
2024-12-11 11:08:45.235,Teleport,,R
2024-12-11 11:08:50.872,Teleport,,R
2024-12-11 11:08:58.271,PlayVideo,video_zTcsSwKffL4,
2024-12-11 11:17:04.852,Resume,,
2024-12-11 11:17:28.825,Teleport,,R
2024-12-11 11:17:31.185,Teleport,,R
2024-12-11 11:17:38.950,Teleport,,R
2024-12-11 11:17:41.847,Grab,,R
2024-12-11 11:17:43.504,Release,,R
2024-12-11 11:17:44.500,Grab,,R
2024-12-11 11:17:44.619,Release,,R
2024-12-11 11:17:45.421,Grab,,R
2024-12-11 11:17:45.435,Release,,R
2024-12-11 11:17:45.491,Grab,,R
2024-12-11 11:17:45.533,Release,,R
2024-12-11 11:17:45.659,Grab,,R
2024-12-11 11:17:47.220,Release,,R
2024-12-11 11:17:50.492,Teleport,,R
2024-12-11 11:17:52.709,Teleport,,R
2024-12-11 11:17:59.750,Teleport,,R
2024-12-11 11:18:03.583,Teleport,,R
2024-12-11 11:18:11.227,Teleport,,R
2024-12-11 11:18:19.659,Touch,concept_SaaS,R
2024-12-11 11:18:21.563,Grab,concept_SaaS,R
2024-12-11 11:18:25.612,Release,concept_SaaS,R
2024-12-11 11:18:26.445,Grab,concept_SaaS,R
2024-12-11 11:18:26.584,Release,concept_SaaS,R
2024-12-11 11:18:47.796,PlayAnnotation,ann12,
2024-12-11 11:18:49.265,PlayAnnotation,ann12,
2024-12-11 11:18:49.401,Touch,concept_SaaS,R
2024-12-11 11:18:52.893,Touch,concept_SaaS,R
2024-12-11 11:19:46.626,Pause,,
2024-12-11 11:19:59.502,Touch,concept_SaaS,R
2024-12-11 11:20:00.902,Grab,concept_SaaS,R
2024-12-11 11:20:04.374,Release,concept_SaaS,R
2024-12-11 11:20:08.394,PlayAnnotation,ann12,
2024-12-11 11:20:10.222,Teleport,,R
2024-12-11 11:22:32.191,Teleport,,R
2024-12-11 11:22:34.312,Teleport,,R
2024-12-11 11:22:36.688,Teleport,,R
2024-12-11 11:22:37.937,Touch,concept_On-Premises,R
2024-12-11 11:22:40.220,Grab,concept_On-Premises,R
2024-12-11 11:22:45.742,Release,concept_On-Premises,R
2024-12-11 11:22:52.125,PlayAnnotation,ann15,
2024-12-11 11:22:53.986,PlayAnnotation,ann15,
2024-12-11 11:23:04.825,Pause,,
2024-12-11 11:23:12.549,Teleport,,R
2024-12-11 11:23:13.481,Touch,concept_IaaS,R
2024-12-11 11:23:14.414,Grab,concept_IaaS,R
2024-12-11 11:23:19.301,Release,concept_IaaS,R
2024-12-11 11:23:20.827,Touch,concept_caratteristica,R
2024-12-11 11:23:22.115,Teleport,,R
2024-12-11 11:23:23.327,Teleport,,R
2024-12-11 11:23:24.206,Teleport,,R
2024-12-11 11:23:29.615,Teleport,,R
