sessionID,cluster
Userlogs10,1
Userlogs11,1
Userlogs12,0
Userlogs13,1
Userlogs14,2
Userlogs15,1
Userlogs16,1
Userlogs17,1
Userlogs18,1
Userlogs19,1
Userlogs20,1
Userlogs21,1
Userlogs22,1
Userlogs23,1
Userlogs24,0
Userlogs25,1
Userlogs26,1
Userlogs27,1
Userlogs28,0
Userlogs29,1
Userlogs30,1
Userlogs31,0
Userlogs32,0
Userlogs33,1
Userlogs34,0
Userlogs35,1
Userlogs36,0
Userlogs37,1
Userlogs38,1
Userlogs39,1
Userlogs40,1
Userlogs41,0
Userlogs42,1
Userlogs43,1
Userlogs44,1
Userlogs45,1
Userlogs46,1
Userlogs47,1
Userlogs48,1
Userlogs49,1
Userlogs7,1
Userlogs8,1
Userlogs9,1
