model,k,silhouette,calinski_harabasz,davies_bouldin,n_clusters
KMeans_k=3,3.0,0.3549219549716246,10.966815942150298,1.3299456244862,3
GMM_full_k=3,3.0,0.3549219549716246,10.966815942150298,1.3299456244862,3
KMeans_k=4,4.0,0.32872979886933706,9.722503115936476,1.3290150809888588,4
GMM_full_k=4,4.0,0.32872979886933706,9.722503115936476,1.3290150809888588,4
KMeans_k=6,6.0,0.31722390479536866,9.272719622236995,0.8397163291315725,6
Agglomerative_ward_k=3,3.0,0.291887319801423,10.757464543309657,1.8207099076705362,3
Agglomerative_ward_k=6,6.0,0.2742672573627887,9.30705165454997,0.9927698208128996,6
Agglomerative_ward_k=5,5.0,0.27055365833421346,9.574906268833754,1.2766365185671813,5
Agglomerative_ward_k=7,7.0,0.2704850125787678,9.136939549871663,0.8644236382429312,7
Agglomerative_ward_k=4,4.0,0.26172371196197575,9.841883700863317,1.5464182198020822,4
KMeans_k=5,5.0,0.22528483101997046,9.143430725446327,1.2083965612806478,5
GMM_full_k=6,6.0,0.11923706211300841,7.990843415654641,1.6370697329425186,6
GMM_full_k=7,7.0,0.1167687396268567,7.703330811132176,1.486343484878958,7
GMM_full_k=5,5.0,0.10489158750558554,8.654690754637551,1.707025614263135,5
KMeans_k=7,7.0,0.0793438589865084,8.75914374665899,1.34799295303131,7
Spectral_nn=10_k=4,4.0,0.06363847305673385,5.1389527062377764,1.8764391234064566,4
Spectral_nn=10_k=3,3.0,0.05078094335099485,5.962554972472304,2.2656948261383634,3
Spectral_nn=10_k=7,7.0,0.023616291491833384,3.7644891858818617,1.7243213449447496,7
Spectral_nn=10_k=5,5.0,0.019338875561094718,3.886669177972819,1.9680914471910662,5
Spectral_nn=10_k=6,6.0,0.01746510785863732,3.8149060681627844,1.9547525445248717,6
"DBSCAN_auto(eps~6.677,min=5)",,,,,1
