sessionID,session_duration,count_Teleport,count_Grab_on_table,count_Grab_on_map,count_PlayAnnotation,unique_concepts,avg_Play_per_concept,count_Touch_on_table,count_Touch_on_map,sum_resolution_time_for_all_concepts,number_of_concepts_solved,avg_resolution_time_per_concept,resolution_time_concept_cloud_computing,resolution_time_concept_servizio,resolution_time_concept_software,resolution_time_concept_risorse_hardware,resolution_time_concept_fornitore_del_servizio,resolution_time_concept_infrastruttura_cloud,resolution_time_concept_livello_astratto,resolution_time_concept_livello_fisico,resolution_time_concept_modello_di_cloud,resolution_time_concept_SaaS,resolution_time_concept_PaaS,resolution_time_concept_IaaS,resolution_time_concept_On-Premises,resolution_time_concept_caratteristica,number_of_match_attempts,total_match_errors,match_attempt_concept_cloud_computing,match_attempt_concept_servizio,match_attempt_concept_software,match_attempt_concept_risorse_hardware,match_attempt_concept_fornitore_del_servizio,match_attempt_concept_infrastruttura_cloud,match_attempt_concept_livello_fisico,match_attempt_concept_livello_astratto,match_attempt_concept_modello_di_cloud,match_attempt_concept_SaaS,match_attempt_concept_PaaS,match_attempt_concept_IaaS,match_attempt_concept_On_Premises,match_attempt_concept_caratteristica,match_attempts_total,match_correct,match_wrong,match_accuracy,conceptsolve_count,conceptsolve_mean_time,conceptsolve_mean_attempts,conceptsolve_first_try,conceptsolve_multi_try,score_tot_solved,score_tot_attempts,score_tot_accuracy,score_percent
Userlogs01_M4,1084.909,80,28,4,18,14,1.2857142857142858,55,45,4266.410156,14,304.7435825714286,92.765625,95.632812,72.28125,41.921875,176.328125,141.925781,232.585938,338.851562,62.136719,380.753906,439.578125,792.386719,607.863281,791.398438,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,15,14,1,0.9333333333333333,14,304.7435825714286,1.0714285714285714,13,1,14.0,15.0,0.9333333333333333,93.333333
Userlogs02_M4,1599.064,125,56,11,49,14,3.5,155,46,12111.355472000001,14,865.0968194285715,217.636719,786.355469,696.117188,680.210938,788.523438,1140.792969,1173.964844,1133.457031,895.027344,947.96875,1026.824219,1061.699219,1053.09375,509.683594,22,8,1,3,4,2,1,2,1,1,1,2,1,1,0,1,22,14,8,0.6363636363636364,14,865.0968194285715,1.5714285714285714,10,4,14.0,22.0,0.6363636363636364,63.636364
Userlogs03_M4,1034.477,48,28,5,22,14,1.5714285714285714,67,51,3439.2148429999997,14,245.65820307142855,167.464844,163.605469,98.902344,82.269531,97.125,138.320312,233.363281,191.128906,26.859375,316.84375,362.714844,535.222656,480.734375,544.660156,14,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,14,14,0,1.0,14,245.65820307142855,1.0,14,0,14.0,14.0,1.0,100.0
Userlogs04_M4,1980.703,104,44,19,19,14,1.3571428571428572,145,73,13526.093751,14,966.1495536428572,864.667969,664.652344,948.875,1049.445312,735.429688,733.136719,798.140625,1640.464844,837.34375,472.605469,875.828125,1326.019531,1162.4375,1417.046875,16,2,1,1,1,1,1,2,1,1,1,2,1,1,0,1,16,14,2,0.875,14,966.1495536428572,1.1428571428571428,12,2,14.0,16.0,0.875,87.5
Userlogs05_M4,1286.289,91,43,5,20,14,1.4285714285714286,95,71,8089.113282,14,577.7938058571428,73.449219,333.808594,372.832031,216.449219,460.300781,939.136719,1209.863281,953.621094,317.769531,341.074219,351.640625,550.191406,810.140625,1158.835938,19,5,1,1,1,1,2,1,5,1,1,1,1,1,0,1,19,14,5,0.7368421052631579,14,577.7938058571428,1.3571428571428572,11,3,14.0,19.0,0.7368421052631579,73.684211
Userlogs06_M4,1389.983,142,32,2,23,14,1.6428571428571428,61,65,6936.20703,14,495.4433592857143,181.628906,246.894531,455.289062,320.15625,521.414062,521.492188,496.894531,481.703125,546.660156,576.816406,604.761719,927.195312,732.804688,322.496094,18,4,1,1,1,2,1,1,1,1,1,3,1,2,0,1,18,14,4,0.7777777777777778,14,495.44335928571434,1.2857142857142858,11,3,14.0,18.0,0.7777777777777778,77.777778
Userlogs07_M4,1141.38,84,42,8,21,14,1.5,75,48,2387.144531,14,170.51032364285714,106.199219,127.660156,207.691406,60.875,16.640625,56.457031,105.261719,85.421875,125.027344,190.363281,158.035156,327.871094,346.503906,473.136719,19,4,1,1,1,1,4,1,2,1,1,1,2,1,0,1,19,15,4,0.7894736842105263,15,164.3505208,1.1333333333333333,13,2,10.0,12.0,0.8333333333333334,83.333333
Userlogs08_M4,870.663,97,31,1,18,14,1.2857142857142858,57,50,4333.070313,14,309.5050223571429,128.292969,41.042969,113.664062,51.335938,212.0625,292.355469,325.875,322.761719,366.703125,431.378906,426.890625,460.824219,582.957031,576.925781,16,2,1,1,1,1,2,1,1,1,2,1,1,1,0,1,16,14,2,0.875,14,309.5050223571429,1.1428571428571428,12,2,14.0,16.0,0.875,87.5
Userlogs09_M4,934.947,65,27,9,14,14,1.0,56,63,4043.34375,14,288.81026785714283,100.472656,10.640625,21.320312,51.015625,53.34375,266.515625,371.679688,317.546875,230.21875,414.480469,458.355469,514.3125,565.265625,668.175781,14,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,14,14,0,1.0,14,288.81026785714283,1.0,14,0,14.0,14.0,1.0,100.0
Userlogs10_M4,1378.839,57,54,3,25,14,1.7857142857142858,69,36,7988.820313,14,570.6300223571428,270.484375,144.78125,223.761719,355.359375,435.097656,563.1875,615.613281,574.617188,709.699219,757.144531,845.355469,666.0625,959.589844,868.066406,19,5,1,1,1,3,1,1,3,1,1,2,1,1,0,1,19,14,5,0.7368421052631579,14,570.6300223571428,1.3571428571428572,9,5,14.0,19.0,0.7368421052631579,73.684211
