Timestamp,Action,Field1,Field2,Field3,Field4,Field5,ActionID,Direction
2025-06-05 10:33:31.873,Teleport,R,,,,,,R
2025-06-05 10:33:32.833,Teleport,R,,,,,,R
2025-06-05 10:33:39.972,Teleport,R,,,,,,R
2025-06-05 10:33:45.568,Teleport,R,,,,,,R
2025-06-05 10:33:57.200,Teleport,R,,,,,,R
2025-06-05 10:33:58.409,Teleport,R,,,,,,R
2025-06-05 10:34:11.778,Teleport,R,,,,,,R
2025-06-05 10:34:13.383,Touch,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:34:14.450,Touch,map,concept_cloud_computing,L,,,concept_cloud_computing,
2025-06-05 10:34:53.213,Resume,,,,,,,
2025-06-05 10:34:56.200,PlayAnnotation,ann1,,,,,,
2025-06-05 10:34:57.301,PlayAnnotation,ann1,,,,,,
2025-06-05 10:34:59.962,Touch,map,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:35:52.310,Pause,,,,,,,
2025-06-05 10:36:00.557,Teleport,R,,,,,,R
2025-06-05 10:36:02.700,Teleport,R,,,,,,R
2025-06-05 10:36:15.379,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:16.619,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:22.222,Grab,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:23.172,Teleport,R,,,,,,R
2025-06-05 10:36:23.176,Release,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:23.181,Resume,,,,,,,
2025-06-05 10:36:23.183,Touch,table,concept_IaaS,R,,,concept_IaaS,R
2025-06-05 10:36:24.537,Touch,table,concept_servizio,R,,,concept_servizio,R
2025-06-05 10:36:26.640,Touch,table,concept_servizio,R,,,concept_servizio,R
2025-06-05 10:36:27.460,Pause,,,,,,,
2025-06-05 10:36:29.220,Teleport,R,,,,,,R
2025-06-05 10:36:32.100,Teleport,R,,,,,,R
2025-06-05 10:36:33.430,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:36.600,Grab,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:37.496,Touch,table,concept_cloud_computing,L,,,concept_cloud_computing,
2025-06-05 10:36:39.832,Release,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:39.901,Grab,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:41.673,Release,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:36:48.232,Touch,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:37:01.100,Grab,table,concept_cloud_computing,R,,,concept_cloud_computing,R
2025-06-05 10:37:01.899,Touch,table,concept_cloud_computing,L,,,concept_cloud_computing,
2025-06-05 10:37:04.756,Touch,table,concept_cloud_computing,L,,,concept_cloud_computing,
2025-06-05 10:37:05.815,Touch,table,concept_cloud_computing,L,,,concept_cloud_computing,
2025-06-05 10:37:10.700,Teleport,R,,,,,,R
2025-06-05 10:37:11.246,Teleport,R,,,,,,R
2025-06-05 10:37:11.249,Touch,map,concept_cloud_computing,L,,,concept_cloud_computing,
