,,0,1,2
session_duration,mean,1416.3058999999998,1180.7359166666668,1501.507
session_duration,median,1430.7415,1113.1445,1501.507
count_Teleport,mean,97.9,81.75,148.0
count_Teleport,median,96.0,81.0,148.0
count_Grab_on_table,mean,39.4,31.5,65.0
count_Grab_on_table,median,37.0,30.0,65.0
count_Grab_on_map,mean,7.8,7.083333333333333,0.0
count_Grab_on_map,median,6.5,4.5,0.0
count_PlayAnnotation,mean,22.3,22.083333333333332,17.0
count_PlayAnnotation,median,20.0,20.0,17.0
count_Touch_on_table,mean,95.7,64.33333333333333,119.0
count_Touch_on_table,median,85.0,63.0,119.0
count_Touch_on_map,mean,50.7,50.75,41.0
count_Touch_on_map,median,52.5,46.5,41.0
sum_resolution_time_for_all_concepts,mean,9168.192578400001,4557.686198,2652.2656260000003
sum_resolution_time_for_all_concepts,median,8038.9667975,4299.7402345,2652.2656260000003
resolution_time_concept_cloud_computing,mean,231.03164069999997,125.83333341666666,12.0625
resolution_time_concept_cloud_computing,median,176.82617199999999,115.810547,12.0625
resolution_time_concept_servizio,mean,461.3828126,127.97363283333334,5.464844
resolution_time_concept_servizio,median,384.85742200000004,110.751953,5.464844
resolution_time_concept_software,mean,464.3210937,111.24218733333333,59.589844
resolution_time_concept_software,median,411.800781,111.0898435,59.589844
resolution_time_concept_risorse_hardware,mean,462.5824219,231.62597658333334,66.265625
resolution_time_concept_risorse_hardware,median,377.08007799999996,77.970703,66.265625
resolution_time_concept_infrastruttura_cloud,mean,689.3132813,267.69075516666663,147.386719
resolution_time_concept_infrastruttura_cloud,median,560.8789059999999,265.0,147.386719
resolution_time_concept_livello_astratto,mean,771.6570312,352.74576841666664,208.414062
resolution_time_concept_livello_astratto,median,707.064453,265.34375,208.414062
resolution_time_concept_livello_fisico,mean,811.9589844,386.51985675,227.867188
resolution_time_concept_livello_fisico,median,720.6660155,320.15429700000004,227.867188
resolution_time_concept_modello_di_cloud,mean,627.0433593,191.07519541666667,29.835938
resolution_time_concept_modello_di_cloud,median,619.599609,130.72070300000001,29.835938
resolution_time_concept_SaaS,mean,672.9417968,325.45214841666666,268.921875
resolution_time_concept_SaaS,median,681.2382809999999,328.38671899999997,268.921875
resolution_time_concept_IaaS,mean,864.445703,562.15201825,353.445312
resolution_time_concept_IaaS,median,804.3398434999999,497.68164049999996,353.445312
resolution_time_concept_On-Premises,mean,965.9960939,593.42773425,403.433594
resolution_time_concept_On-Premises,median,943.634766,574.111328,403.433594
resolution_time_concept_caratteristica,mean,858.7992188000001,764.5253905833333,414.371094
resolution_time_concept_caratteristica,median,958.2148434999999,662.4765625,414.371094
number_of_match_attempts,mean,18.5,15.25,24.0
number_of_match_attempts,median,18.0,14.5,24.0
total_match_errors,mean,4.5,1.1666666666666667,3.0
total_match_errors,median,4.0,0.5,3.0
match_attempt_concept_cloud_computing,mean,1.0,1.0,3.0
match_attempt_concept_cloud_computing,median,1.0,1.0,3.0
match_attempt_concept_servizio,mean,1.3,1.0,3.0
match_attempt_concept_servizio,median,1.0,1.0,3.0
match_attempt_concept_software,mean,1.5,1.3333333333333333,2.0
match_attempt_concept_software,median,1.0,1.0,2.0
match_attempt_concept_risorse_hardware,mean,1.7,1.0,2.0
match_attempt_concept_risorse_hardware,median,2.0,1.0,2.0
match_attempt_concept_fornitore_del_servizio,mean,1.1,1.4166666666666667,2.0
match_attempt_concept_fornitore_del_servizio,median,1.0,1.0,2.0
match_attempt_concept_infrastruttura_cloud,mean,1.3,1.0833333333333333,3.0
match_attempt_concept_infrastruttura_cloud,median,1.0,1.0,3.0
match_attempt_concept_livello_fisico,mean,2.3,1.1666666666666667,1.0
match_attempt_concept_livello_fisico,median,1.5,1.0,1.0
match_attempt_concept_livello_astratto,mean,1.3,1.0,2.0
match_attempt_concept_livello_astratto,median,1.0,1.0,2.0
match_attempt_concept_modello_di_cloud,mean,1.0,1.1666666666666667,1.0
match_attempt_concept_modello_di_cloud,median,1.0,1.0,1.0
match_attempt_concept_SaaS,mean,1.5,1.0,1.0
match_attempt_concept_SaaS,median,1.0,1.0,1.0
match_attempt_concept_PaaS,mean,1.0,1.0833333333333333,1.0
match_attempt_concept_PaaS,median,1.0,1.0,1.0
match_attempt_concept_IaaS,mean,1.1,1.0,1.0
match_attempt_concept_IaaS,median,1.0,1.0,1.0
match_attempt_concept_caratteristica,mean,1.4,1.0,1.0
match_attempt_concept_caratteristica,median,1.0,1.0,1.0
conceptsolve_first_try,mean,11.0,13.416666666666666,19.0
conceptsolve_first_try,median,11.0,14.0,19.0
conceptsolve_multi_try,mean,3.0,0.6666666666666666,2.0
conceptsolve_multi_try,median,3.0,0.0,2.0
score_tot_solved,mean,14.0,13.0,14.0
score_tot_solved,median,14.0,14.0,14.0
score_tot_attempts,mean,18.5,13.666666666666666,17.0
score_tot_attempts,median,18.0,14.0,17.0
